[Train] Starting training for 200 epochs
[Train] Train samples: 90303, Test samples: 10000
[Epoch: 31/200, iter: 87482], Lr: 0.000200, Train Noise Loss: 0.018321, Test Force MAE: 0.0444, Test Error: [0.0654 0.0776 0.045  0.0312 0.028  0.0191], Test Error(span): [0.392 0.465 0.54  0.012 0.011 0.002], Time: 345.1min
[Epoch: 32/200, iter: 90304], Lr: 0.000200, Train Noise Loss: 0.018460, Test Force MAE: 0.0457, Test Error: [0.0658 0.0811 0.0462 0.0316 0.0268 0.0229], Test Error(span): [0.395 0.487 0.554 0.013 0.011 0.002], Time: 356.3min
[Epoch: 33/200, iter: 93126], Lr: 0.000200, Train Noise Loss: 0.018626, Test Force MAE: 0.0468, Test Error: [0.0668 0.0854 0.0451 0.0364 0.0275 0.0196], Test Error(span): [0.401 0.513 0.541 0.015 0.011 0.002], Time: 367.5min
[Epoch: 34/200, iter: 95948], Lr: 0.000200, Train Noise Loss: 0.019413, Test Force MAE: 0.0450, Test Error: [0.0666 0.0767 0.0467 0.0304 0.0278 0.0222], Test Error(span): [0.399 0.46  0.56  0.012 0.011 0.002], Time: 378.6min
[Epoch: 35/200, iter: 98770], Lr: 0.000200, Train Noise Loss: 0.018487, Test Force MAE: 0.0445, Test Error: [0.0668 0.0748 0.0464 0.0311 0.0283 0.0198], Test Error(span): [0.401 0.449 0.557 0.012 0.011 0.002], Time: 389.7min
[Epoch: 36/200, iter: 101592], Lr: 0.000200, Train Noise Loss: 0.018420, Test Force MAE: 0.0445, Test Error: [0.0668 0.0765 0.044  0.0303 0.0294 0.0201], Test Error(span): [0.401 0.459 0.528 0.012 0.012 0.002], Time: 400.9min
[Epoch: 37/200, iter: 104414], Lr: 0.000200, Train Noise Loss: 0.018378, Test Force MAE: 0.0436, Test Error: [0.0644 0.0768 0.0432 0.0307 0.0271 0.0193], Test Error(span): [0.386 0.461 0.518 0.012 0.011 0.002], Time: 412.0min ******
[Epoch: 38/200, iter: 107236], Lr: 0.000200, Train Noise Loss: 0.018782, Test Force MAE: 0.0420, Test Error: [0.0623 0.0757 0.04   0.0299 0.0253 0.0189], Test Error(span): [0.374 0.454 0.48  0.012 0.01  0.002], Time: 423.2min ******
[Epoch: 39/200, iter: 110058], Lr: 0.000200, Train Noise Loss: 0.017982, Test Force MAE: 0.0451, Test Error: [0.0655 0.0788 0.045  0.0336 0.0291 0.0187], Test Error(span): [0.393 0.473 0.54  0.013 0.012 0.002], Time: 434.4min
[Epoch: 40/200, iter: 112880], Lr: 0.000200, Train Noise Loss: 0.018013, Test Force MAE: 0.0432, Test Error: [0.0651 0.0783 0.0408 0.0307 0.0259 0.0183], Test Error(span): [0.39  0.47  0.489 0.012 0.01  0.002], Time: 445.6min
